timestamp_utc,run_count,start_equity,end_equity,run_pnl,run_return_pct,total_return_pct,cash,open_positions,closed_positions_count
20260330_133233,1,10000.0,10014.3684,14.3684,0.1437,0.1437,5200.0,4,0
20260330_133308,2,10014.3684,10019.0416,4.6732,0.0467,0.1904,5200.0,4,0
20260330_134907,3,10019.0416,10038.8793,19.8377,0.198,0.3888,5200.0,4,0
20260330_135128,4,10038.8793,10046.8273,7.948,0.0792,0.4683,5200.0,4,0
20260330_135237,5,10046.8273,10000.0,-46.8273,-0.4661,0.0,5200.0,4,0
20260330_135303,6,10000.0,10000.0,0.0,0.0,0.0,5200.0,4,0
20260330_135553,7,10000.0,10000.0,0.0,0.0,0.0,5200.0,4,0
20260330_135847,4,10013.2287,10000.0,-13.2287,-0.1321,0.0,5200.0,4,0
20260330_140125,5,10000.0,10069.8565,69.8565,0.6986,0.6986,5200.0,4,0
20260330_143052,1,10000.0,10000.0,0.0,0.0,0.0,4000.0,5,0
20260330_144235,2,10000.0,10001.1517,1.1517,0.0115,0.0115,4000.0,5,0
20260330_145228,3,10001.1517,9996.0027,-5.149,-0.0515,-0.04,4000.0,5,0
20260330_150234,4,9996.0027,9999.2632,3.2605,0.0326,-0.0074,4000.0,5,0
20260330_150656,5,9999.2632,10000.0,0.7368,0.0074,0.0,4000.0,5,0
20260330_150706,6,10000.0,10000.0,0.0,0.0,0.0,4000.0,5,0
20260330_150754,7,10000.0,10000.0,0.0,0.0,0.0,4000.0,5,0
20260330_151237,8,10000.0,10003.9198,3.9198,0.0392,0.0392,4000.0,5,0
20260330_151706,9,10003.9198,10000.0,-3.9198,-0.0392,0.0,4000.0,5,0
20260330_152228,1,11000.0,11000.0,0.0,0.0,0.0,4400.0,5,0
20260330_152227,1,11000.0,11014.563,14.563,0.1324,0.1324,5720.0,4,0
20260330_153223,2,11014.563,11008.66,-5.903,-0.0536,0.0787,5720.0,4,0
20260330_154229,3,11008.66,11009.4286,0.7686,0.007,0.0857,5720.0,4,0
20260330_155226,4,11009.4286,11012.6417,3.2131,0.0292,0.1149,5720.0,4,0
20260330_160226,5,11012.6417,11010.733,-1.9087,-0.0173,0.0976,5720.0,4,0
20260330_161226,6,11010.733,11010.398,-0.335,-0.003,0.0945,5720.0,4,0
20260330_162226,7,11010.398,11004.644,-5.754,-0.0523,0.0422,5720.0,4,0
20260330_163237,8,11004.644,11002.7389,-1.9051,-0.0173,0.0249,4400.1607,5,0
20260330_164232,9,11002.7389,11000.909,-1.8299,-0.0166,0.0083,4400.1607,5,0
20260330_165234,10,11000.909,11000.2291,-0.6799,-0.0062,0.0021,4400.1607,5,0
20260330_170107,11,11000.2291,11000.0,-0.2291,-0.0021,0.0,4400.1607,5,0
20260330_171454,12,11000.0,11005.8613,5.8613,0.0533,0.0533,4400.1607,5,0
20260330_172234,13,11005.8613,10996.872,-8.9893,-0.0817,-0.0284,4400.1607,5,0
20260330_173220,14,10996.872,10996.4243,-0.4477,-0.0041,-0.0325,4400.1607,5,0
20260330_174228,15,10996.4243,11001.0632,4.6389,0.0422,0.0097,4400.1607,5,0
20260330_175228,16,11001.0632,11002.5949,1.5317,0.0139,0.0236,4400.1607,5,0
20260330_180233,17,11002.5949,10995.2482,-7.3467,-0.0668,-0.0432,4400.1607,5,0
20260330_181228,18,10995.2482,10991.534,-3.7142,-0.0338,-0.077,4400.1607,5,0
20260330_182226,19,10991.534,10995.9239,4.3899,0.0399,-0.0371,4400.1607,5,0
20260330_183230,20,10995.9239,10989.1902,-6.7337,-0.0612,-0.0983,4400.1607,5,0
20260330_184231,21,10989.1902,10981.0732,-8.117,-0.0739,-0.1721,4400.1607,5,0
20260330_185234,22,10981.0732,10977.8953,-3.1779,-0.0289,-0.201,4400.1607,5,0
20260330_190011,23,10977.8953,11000.0,22.1047,0.2014,0.0,4400.1607,5,0
20260330_191233,24,11000.0,10964.4751,-35.5249,-0.323,-0.323,4400.1607,5,0
20260330_193229,25,10964.4751,10950.9777,-13.4974,-0.1231,-0.4457,4400.1607,5,0
20260330_200225,26,10950.9777,10958.4312,7.4535,0.0681,-0.3779,4400.1607,5,0
